음식명," 선호도",해산물,육류,소고기,돼지고기,닭고기,양고기,채소,회,내장,면,밥,국물,매운 것,느끼한 것,차가운 것,따듯한 것,짜투리
햄버거,패스트푸드,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
치킨,패스트푸드,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,
피자,패스트푸드,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
핫도그,패스트푸드,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
파스타,양식/멕시칸,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,
스테이크,양식/멕시칸,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
리조또,양식/멕시칸,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,
양식뷔페,양식/멕시칸,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,
함박스테이크,양식/멕시칸,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
타코,양식/멕시칸,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,
떡볶이,분식,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,
튀김,분식,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
순대,분식,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,
김밥,분식,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
라면,분식,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,
오뎅,분식,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,
쫄면,분식,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,
비빔밥,한식,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,
불고기,한식,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
김치찌개,한식,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,
된장찌개,한식,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,
김치볶음밥,한식,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,
부대찌개,한식,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,
